PN;End-of-Sale Date;End of New Service Attachment Date;End of Service Contract Renewal Date;Last Date of Support; омментарий
A9K-MOD160-TR;;;;;
A9K-MOD80-SE;;;;;
A9K-MOD80-TR;;;;;
A9K-MPA-20X1GE;;;;;
A9K-MPA-4X10GE;;;;;
A9K-MPA-8X10GE;;;;;
A9K-NV-CLUSTR-LIC;;;;;
A9K-NVSAT1-LIC;;;;;
A9K-RSP440-SE;;;;;
A9K-RSP440-TR;;;;;
A9K-RSP-4G;August 24, 2015;August 23, 2016;;August 31, 2020;
A9K-SIP-700;;;;;
AIM-VPN/EPII;December 22, 2005;;;December 22, 2010;
AIM-VPN/EPII-PLUS;December 1, 2008;December 1, 2009;;December 1, 2013;
AIM-VPN/HPII-PLUS;December 1, 2008;December 1, 2009;;December 1, 2013;
AIM-VPN/SSL-2;December 2, 2011;December 1, 2012;;November 30, 2016;
AS5300chassis;;;;;
AS535-2E1-60-AC;December 22, 2006;December 22, 2007;;December 21, 2011;
AS5400HPX;December 22, 2006;December 22, 2007;;December 21, 2011;
ASA-180W-PWR-AC;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA-180W-PWR-DC;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA5505-K8;;;;;
ASA5505-SEC-BUN-K8;;;;;
ASA5505-SEC-BUN-K9;;;;;
ASA5505-UL-BUN-K9;;;;;
ASA5510-BUN-K9;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA5510-K8;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA5510-SEC-BUN-K9;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA5520-BUN-K9;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA5520-DC-K8;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA5520-K8;September 16, 2013;September 16, 2014;;September 30, 2018;
ASA5525-K8;;;;;
ASA5540-K8;September 16, 2013;September 16, 2014;December 12, 2017;September 30, 2018;
ASA5545-K9;;;;;
ASA5550-BUN-K9;September 16, 2013;September 16, 2014;December 12, 2017;September 30, 2018;
ASA5550-K8;September 16, 2013;September 16, 2014;December 12, 2017;September 30, 2018;
ASA5585-S10-K9;;;;;
ASR1000-ESP10-N;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1000-ESP20;;;;;
ASR1000-ESP40;;;;;
ASR1000-ESP5;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1000-RP1;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1000-RP2;;;;;
ASR1000-SIP10;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1000-SIP10-SB;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1000-SIP40;;;;;
ASR1001;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1001-PWR-AC;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1001-PWR-DC;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1002;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1002-10G/K9;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
ASR1002-BB4K;December 30, 2013;December 30, 2014;March 27, 2018;December 31, 2018;
ASR1002-ESP-F;;;;;
ASR1002-F;July 31, 2012;July 31, 2013;October 29, 2016;July 31, 2017;
ASR1002-PWR-AC;;;;;
ASR1002-PWR-DC;;;;;
ASR1002-RP1;;;;;без замены, составл€юща€
ASR1002-SIP10;;;;;без замены, составл€юща€
ASR1002-SIP10-F;;;;;без замены, составл€юща€
ASR1004;;;;;
ASR1004-PWR-AC;;;;;
ASR1004-PWR-DC;;;;;
ASR1004-SB;;;;;
ASR1006;;;;;
ASR1006-PWR-DC;;;;;
ASR-9000V-AC;;;;;
ASR-9000V-FAN;;;;;
ASR-9001;;;;;
ASR-9001-FAN;;;;;
ASR9001-LC;;;;;без замены, составл€юща€
ASR9001-RP;;;;;без замены, составл€юща€
ASR-9006-AC;;;;;
ASR-9006-AC-BUN;;;;;
ASR-9006-AC-V2;;;;;
ASR-9006-DC;November 13, 2014;November 13, 2015;February 8, 2019;November 30, 2019;
ASR-9006-DC-BUN;;;;;
ASR-9006-DC-V2;;;;;
ASR-9006-FAN;;;;;
ASR-9010-AC;November 13, 2014;November 13, 2015;February 8, 2019;November 30, 2019;
ASR-9010-AC-BUN;;;;;
ASR-9010-DC;November 13, 2014;November 13, 2015;February 8, 2019;November 30, 2019;
ASR-9010-DC-BUN;;;;;
ASR-9010-DC-V2;;;;;
ASR-9010-FAN;;;;;
ASR-9010-FAN-V2;;;;;
ASR-903;;;;;
ASR-9904-AC;;;;;
ASR-9904-FAN;;;;;
BF-S720-64MB-SP;July 31, 2015;July 31, 2016;October 31, 2019;July 31, 2020;
BUN-C2950ST-24-LRE;02-OCT-2006;02-OCT-2007;28-DEC-2010;01-OCT-2011;дл€ BUN EOS не нашла, EOS указаны дл€ WS-C2950ST-24-LRE
C2600Mainboard;;;;;
C2611XM-2FE;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;дл€ C2611XM-2FE EOS не нашла, EOS указаны дл€ CISCO2611XM
C2621XM-2FE;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;дл€ C2621XM-2FE EOS не нашла, EOS указаны дл€ C2621XM-2FE/VPN/K9
C2650XM-1FE;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;дл€ C2650XM-1FE EOS не нашла, EOS указаны дл€ CISCO2650XM
C2691-V3PN/K9;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;
C3745-VPN/K9;27-MAR-2007;26-MAR-2008;25-JUN-2011;25-MAR-2012;
C3900-SPE100/K9;;;;;
C3900-SPE150/K9;;;;;
C3900-SPE200/K9;;;;;
C3900-SPE250/K9;;;;;
C3K-FAN-16CFM;October 3, 2013;October 3, 2014;December 29, 2017;October 31, 2018;
C3K-PWR-265WAC;;;;;
C3K-PWR-300WAC;October 3, 2013;October 3, 2014;December 29, 2017;October 31, 2018;
C3K-PWR-300WDC;October 3, 2013;October 3, 2014;December 29, 2017;October 31, 2018;
C3KX-NM-10G;October 30, 2016;October 30, 2017;January 28, 2021;October 31, 2021;
C3KX-PWR-350WAC;October 30, 2016;October 30, 2017;January 25, 2021;October 31, 2021;
C7200-I/O-2FE/E;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
C7200-I/O-2FE/E-BU;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
C7206VXR/400/2FE;February 29, 2008;February 28, 2009;May 26, 2012;February 27, 2013;
C892FSP-K9;;;;;
CAB-SFP-50CM;;;;;
CFP-100G-ER4;;;;;
CFP-100G-LR4;;;;;
Cisco 12012/PRP;;;;;
Cisco 12404/PRP;;;;;
Cisco12406/PRP;;;;;
CISCO1760;27-MAR-2007;26-MAR-2008;25-JUN-2011;25-MAR-2012;
CISCO1760-V;27-MAR-2007;26-MAR-2008;25-JUN-2011;25-MAR-2012;
CISCO1760-V3PN/K9;27-MAR-2007;26-MAR-2008;25-JUN-2011;25-MAR-2012;
CISCO1811/K9;April 16, 2011;April 15, 2012;July 15, 2015;April 30, 2016;
CISCO1841;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO1841-SEC/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO1921/K9;;;;;
CISCO1941/K9;;;;;
CISCO2610XM;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;
CISCO2610XM-16TS;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;
CISCO2611XM;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;
CISCO2621;APRIL 26, 2003;April 26, 2004;April 26, 2007;April 26, 2008;не нашла точной Last Date of Support
CISCO2621XM;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;
CISCO2650XM;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;
CISCO2651XM;March 27, 2007;March 26, 2008;June 25, 2011;March 25, 2012;
CISCO2801;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2801-HSEC/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2801-V/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2811;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2811-DC;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2811-HSEC/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2821;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2821-DC;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2821-HSEC/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2851;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2851-DC;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2851-HSEC/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO2901/K9;;;;;
CISCO2911/K9;;;;;
CISCO2911R/K9;;;;;
CISCO2911-SEC/K9;;;;;
CISCO2921/K9;;;;;
CISCO2921-V/K9;;;;;
CISCO2951/K9;;;;;
CISCO2951-SEC/K9;;;;;
CISCO3725;27-MAR-2007;26-MAR-2008;25-JUN-2011;25-MAR-2012;
Cisco3745;27-MAR-2007;26-MAR-2008;25-JUN-2011;25-MAR-2012;
