PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
ASR1002-BB4K,"December 30, 2013","December 30, 2014","March 27, 2018","December 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/end_of_life_notice_c51-728847.html,OK,ASR1002-BB4K
ASR1002-ESP-F,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASR1002-F,"July 31, 2012","July 31, 2013","October 29, 2016","July 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/end_of_life_c51-678412.html,OK,ASR1002-F
ASR1002-PWR-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1002-x-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1002-PWR-AC
ASR1002-PWR-DC,"April 29, 2016",N/A,N/A,"April 30, 2021",http://www.cisco.com/c/en/us/support/routers/asr-1002-router/model.html,EOS status End (No  specific EOS for this PN),ASR1002-PWR-DC
ASR1002-RP1,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASR1002-SIP10,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASR1002-SIP10-F,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASR1004,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-1000-series-route-processor-rp2/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1004
ASR1004-PWR-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1004-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1004-PWR-AC
ASR1004-PWR-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1004-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1004-PWR-DC
ASR1004-SB,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1004-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1004-SB
ASR1006,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1006-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1006
ASR1006-PWR-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1006-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1006-PWR-DC
ASR-9000V-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9000V-AC
ASR-9000V-FAN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9000V-FAN
ASR-9001,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9001-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9001
ASR-9001-FAN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9001-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9001-FAN
ASR9001-LC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASR9001-RP,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASR-9006-AC,"November 13, 2014","November 13, 2015","February 8, 2019","November 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731882.html,OK,ASR-9006-AC
ASR-9006-AC-BUN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9006-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9006-AC-BUN
ASR-9006-AC-V2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9006-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9006-AC-V2
ASR-9006-DC,"November 13, 2014","November 13, 2015","February 8, 2019","November 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731882.html,OK,ASR-9006-DC
ASR-9006-DC-BUN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9006-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9006-DC-BUN
ASR-9006-DC-V2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9006-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9006-DC-V2
ASR-9006-FAN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9006-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9006-FAN
ASR-9010-AC,"November 13, 2014","November 13, 2015","February 8, 2019","November 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731882.html,OK,ASR-9010-AC
ASR-9010-AC-BUN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9010-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9010-AC-BUN
ASR-9010-DC,"November 13, 2014","November 13, 2015","February 8, 2019","November 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731882.html,OK,ASR-9010-DC
ASR-9010-DC-BUN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9010-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9010-DC-BUN
ASR-9010-DC-V2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9010-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9010-DC-V2
ASR-9010-FAN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9010-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9010-FAN
ASR-9010-FAN-V2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9010-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9010-FAN-V2
ASR-903,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-903-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-903
ASR-9904-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9904-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9904-AC
ASR-9904-FAN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9904-router/model.html,EOS status Orderable (No  specific EOS for this PN),ASR-9904-FAN
BF-S720-64MB-SP,"July 31, 2015","July 31, 2016","October 31, 2019","July 31, 2020",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-733297.html,OK,BF-S720-64MB-SP
BUN-C2950ST-24-LRE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
C2600Mainboard,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
C2611XM-2FE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
C2621XM-2FE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
C2650XM-1FE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
C2691-V3PN/K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
C3745-VPN/K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
C3900-SPE100/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),C3900-SPE100/K9
C3900-SPE150/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),C3900-SPE150/K9
C3900-SPE200/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),C3900-SPE200/K9
C3900-SPE250/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),C3900-SPE250/K9
C3K-FAN-16CFM,"October 3, 2013","October 3, 2014","December 29, 2017","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-e-series-switches/end_of_life_notice_c51-727684.html,OK,C3K-FAN-16CFM
C3K-PWR-265WAC,"January 30, 2013",N/A,N/A,"January 31, 2018",http://www.cisco.com/c/en/us/support/switches/catalyst-3750e-48td-s-switch/model.html,EOS status End (No  specific EOS for this PN),C3K-PWR-265WAC
C3K-PWR-300WAC,"October 3, 2013","October 3, 2014","December 29, 2017","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-e-series-switches/end_of_life_notice_c51-727684.html,OK,C3K-PWR-300WAC
C3K-PWR-300WDC,"October 3, 2013","October 3, 2014","December 29, 2017","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-e-series-switches/end_of_life_notice_c51-727684.html,OK,C3K-PWR-300WDC
C3KX-NM-10G,"October 30, 2016","October 30, 2017","January 28, 2021","October 31, 2021",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-x-series-switches/eos-eol-notice-c51-736139.html,OK,C3KX-NM-10G
C3KX-PWR-350WAC,"October 30, 2016","October 30, 2017","January 25, 2021","October 31, 2021",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-x-series-switches/eos-eol-notice-c51-737191.html,OK,C3KX-PWR-350WAC
C7200-I/O-2FE/E,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,C7200-I/O-2FE/E
C7200-I/O-2FE/E-BU,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,C7200-I/O-2FE/E-BU
C7206VXR/400/2FE,"February 29, 2008","February 28, 2009","May 26, 2012","February 27, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/prod_end-of-life_notice0900aecd806b8c96.html,OK,C7206VXR/400/2FE
C892FSP-K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/c892fsp-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),C892FSP-K9
CAB-SFP-50CM,"May 14, 2016",N/A,N/A,"May 31, 2021",http://www.cisco.com/c/en/us/support/switches/catalyst-3560v2-48ts-switch/model.html,EOS status End (No  specific EOS for this PN),CAB-SFP-50CM
CFP-100G-ER4,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/100-gigabit-modules/model.html,EOS status Orderable (No  specific EOS for this PN),CFP-100G-ER4
CFP-100G-LR4,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/100-gigabit-modules/model.html,EOS status Orderable (No  specific EOS for this PN),CFP-100G-LR4
Cisco 12012/PRP,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco 12404/PRP,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco12406/PRP,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO1760,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO1760-V,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO1760-V3PN/K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO1811/K9,"April 16, 2011","April 15, 2012","July 15, 2015","April 30, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/1800-series-integrated-services-routers-isr/eol_c51_598758.html,OK,CISCO1811/K9
CISCO1841,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/1800-series-integrated-services-routers-isr/eol_c51-625662.html,OK,CISCO1841
CISCO1841-SEC/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/1800-series-integrated-services-routers-isr/eol_c51-625662.html,OK,CISCO1841-SEC/K9
CISCO1921/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/1921-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO1921/K9
CISCO1941/K9,"December 26, 2016",N/A,N/A,"December 31, 2021",http://www.cisco.com/c/en/us/support/routers/1941w-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO1941/K9
CISCO2610XM,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO2610XM-16TS,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO2611XM,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO2621,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO2621XM,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO2650XM,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO2651XM,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO2801,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2801
CISCO2801-HSEC/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2801-HSEC/K9
CISCO2801-V/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2801-V/K9
CISCO2811,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2811
CISCO2811-DC,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2811-DC
CISCO2811-HSEC/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2811-HSEC/K9
CISCO2821,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2821
CISCO2821-DC,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2821-DC
CISCO2821-HSEC/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2821-HSEC/K9
CISCO2851,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2851
CISCO2851-DC,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2851-DC
CISCO2851-HSEC/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-631228.html,OK,CISCO2851-HSEC/K9
CISCO2901/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2901-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2901/K9
CISCO2911/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2911-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2911/K9
CISCO2911R/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2911-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2911R/K9
CISCO2911-SEC/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2911-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2911-SEC/K9
CISCO2921/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2921-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2921/K9
CISCO2921-V/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2921-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2921-V/K9
CISCO2951/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2951-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2951/K9
CISCO2951-SEC/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2951-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO2951-SEC/K9
CISCO3725,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco3745,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO3745-MB,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO3825,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_624090.html,OK,CISCO3825
CISCO3825-HSEC/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_624090.html,OK,CISCO3825-HSEC/K9
CISCO3845,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_624090.html,OK,CISCO3845
CISCO3845-DC,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_624090.html,OK,CISCO3845-DC
CISCO3845-HSEC/K9,"November 1, 2011","October 31, 2012","January 30, 2016","October 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_624090.html,OK,CISCO3845-HSEC/K9
CISCO3845-MB,"November  1, 2011",N/A,N/A,"November  1, 2016",http://www.cisco.com/c/en/us/support/routers/3845-ran-o-integrated-services-router-isr/model.html,EOS status End (No  specific EOS for this PN),CISCO3845-MB
CISCO3925/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3925e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO3925/K9
CISCO3925E/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3925e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO3925E/K9
CISCO3945/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO3945/K9
CISCO3945E/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO3945E/K9
CISCO3945E-SEC/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO3945E-SEC/K9
CISCO3945-SEC/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),CISCO3945-SEC/K9
CISCO7201,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,CISCO7201
CISCO7204VXR,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,CISCO7204VXR
CISCO7206VXR,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,CISCO7206VXR
Cisco7206VXR(NPE-G1),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO7206VXR-CH,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,CISCO7206VXR-CH
CISCO7301,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7301-router/end_of_life_c51-678393.html,OK,CISCO7301
Cisco7301(NPE-G1),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO7301-2DC48,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7301-router/end_of_life_c51-678393.html,OK,CISCO7301-2DC48
CISCO7304-G100,"July 4, 2010","July 4, 2011","September 29, 2014","July 31, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/7300-series-routers/eol_c51_576385.html,OK,CISCO7304-G100
CISCO7513/16X2-MX,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,CISCO7513/16X2-MX
CISCO7604,"April 20, 2015","April 19, 2016","July 16, 2019","April 30, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-733146.html,OK,CISCO7604
Cisco7604(RSP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco7604(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO7606,"March 15, 2010","March 15, 2011","June 13, 2014","March 31, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eol_c51_525383.html,OK,CISCO7606
Cisco7606(RSP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco7606(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO7606-S,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,CISCO7606-S
Cisco7606-S(RSP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco7606-S(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO7609,"March 15, 2010","March 15, 2011","June 13, 2014","March 31, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eol_c51_525383.html,OK,CISCO7609
Cisco7609(RSP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco7609(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO7609-S,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,CISCO7609-S
Cisco7609-S(RSP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
Cisco7609-S(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCO805,"July 16, 2007","July 15, 2008","October 11, 2011","July 14, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/prod_end-of-life_notice0900aecd805b174f.html,OK,CISCO805
CISCO851-K9,"July 15, 2010","July 15, 2011","October 10, 2014","July 31, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_577880.html,OK,CISCO851-K9
CISCO857-K9,"December 20, 2011","December 19, 2012","March 19, 2016","December 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_638152.html,OK,CISCO857-K9
CISCO871-K9,"July 15, 2010","July 15, 2011","October 10, 2014","July 31, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_577888.html,OK,CISCO871-K9
CISCO877-K9,"December 20, 2011","December 19, 2012","March 19, 2016","December 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_638144.html,OK,CISCO877-K9
CISCO877-SEC-K9,"December 20, 2011","December 19, 2012","March 19, 2016","December 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_638144.html,OK,CISCO877-SEC-K9
CISCO881-K9,"August 22, 2014","August 22, 2015","November 17, 2018","August 31, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eos-eol-notice-c51-731015.html,OK,CISCO881-K9
CISCO887-K9,"December 20, 2011","December 19, 2012","March 19, 2016","December 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_638141.html,OK,CISCO887-K9
CiscoASR1001,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR1002(ESP10),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR1002(ESP5),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR1002-F,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR1004(ESP20),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR1006(ESP20),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR1006(ESP40),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR-9001,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR-9006,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR-9006-V2,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR-9010,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoASR-9010-V2,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoC6506(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoC6506-E(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoC6509(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoC6509-E(SUP720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoC6509-E(VS-S720),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoCRS-8/S,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoME-3800X-24FS-M,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoME-4924-10GE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
