PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
7600-ES+4TG3CXL,"November 29, 2011","November 28, 2012","February 24, 2016","November 30, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eol_c51-658768.html,OK,7600-ES+4TG3CXL
7600-ES+ITU-4TG-LK,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-ES20-10G3C,"March 31, 2011","March 30, 2012","June 29, 2015","March 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eol_c51_577514.html,OK,7600-ES20-10G3C
7600-ES20-20GE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-ES20-2X10G,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-ES20-D3C,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-ES20-D3CXL,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-ES20-GE3C,"March 31, 2011","March 30, 2012","June 29, 2015","March 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eol_c51_577514.html,OK,7600-ES20-GE3C
7600-ES20-GE3CXL,"March 31, 2011","March 30, 2012","June 29, 2015","March 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eol_c51_577514.html,OK,7600-ES20-GE3CXL
7600-ES20-PROC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-MSFC4,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-PFC3C,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-PFC3C-10GE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-PFC3CXL,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7600-SIP-200,"April 20, 2015","April 19, 2016","July 16, 2019","April 30, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-733146.html,OK,7600-SIP-200
7600-SIP-400,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,7600-SIP-400
7600-SIP-400-BUN,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,7600-SIP-400-BUN
7600-SSC-400,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
7606S-RSP720C-P,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,7606S-RSP720C-P
7606-SUP7203B-PS,"March 15, 2010","March 15, 2011","June 13, 2014","March 31, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eol_c51_525383.html,OK,7606-SUP7203B-PS
76-ES+T-4TG,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,76-ES+T-4TG
76-ES+T-4TGQ,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
76-ES+XC-20G3C,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,76-ES+XC-20G3C
76-ES+XC-20G3CXL,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,76-ES+XC-20G3CXL
76-ES+XT-4TG3C,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,76-ES+XT-4TG3C
76-ES+XT-4TG3CXL,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,76-ES+XT-4TG3CXL
800-2183-01,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
