11688 2016-09-29 12:20:36,960 Starting script at 2016-09-29 12:20:36.960786
11688 2016-09-29 12:20:37,000 PHASE 2: COLLECTING EOS FROM SUPPORT
11688 2016-09-29 12:20:37,000 Gathering routers
11688 2016-09-29 12:20:37,010 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:39,678 Gathering switches
11688 2016-09-29 12:20:39,678 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:41,168 Gathering security
11688 2016-09-29 12:20:41,168 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:41,968 Gathering wireless
11688 2016-09-29 12:20:41,968 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:42,028 Gathering serversunifiedcomputing
11688 2016-09-29 12:20:42,038 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:42,709 Gathering applicationnetworkingservices
11688 2016-09-29 12:20:42,709 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:43,359 Gathering cloudandsystemsmanagement
11688 2016-09-29 12:20:43,359 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:43,449 Gathering collaborationendpoints
11688 2016-09-29 12:20:43,449 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:43,749 Gathering conferencing
11688 2016-09-29 12:20:43,759 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:43,819 Gathering connectedsafetyandsecurity
11688 2016-09-29 12:20:43,819 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:43,869 Gathering customercollaboration
11688 2016-09-29 12:20:43,869 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:44,249 Gathering ciscointerfacesandmodules
11688 2016-09-29 12:20:44,249 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:44,349 Gathering opticalnetworking
11688 2016-09-29 12:20:44,349 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:44,659 Gathering serviceexchange
11688 2016-09-29 12:20:44,659 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:44,749 Gathering storagenetworking
11688 2016-09-29 12:20:44,749 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:44,969 Gathering video
11688 2016-09-29 12:20:44,979 Starting new HTTP connection (1): www.cisco.com
11688 2016-09-29 12:20:45,029 Done.
11688 2016-09-29 12:20:45,039 Starting workers
5856 2016-09-29 12:20:45,039 Starting Wokrer-0
5856 2016-09-29 12:20:45,039 Wokrer-0 processing (800, 'http://www.cisco.com/c/en/us/support/routers/800-series-routers/tsd-products-support-series-home.html')
5856 2016-09-29 12:20:45,039 Checking 800 series
11244 2016-09-29 12:20:45,039 Starting control
11244 2016-09-29 12:20:45,039 Exiting control
10828 2016-09-29 12:20:45,039 Starting db
10828 2016-09-29 12:20:45,039 Exiting db
5856 2016-09-29 12:20:45,039 url:http://www.cisco.com/c/en/us/support/routers/800-series-routers/tsd-products-support-series-home.html
5856 2016-09-29 12:20:45,049 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:45,229 Found 96 models
5856 2016-09-29 12:20:45,229  
5856 2016-09-29 12:20:45,229 Parsing 800M Integrated Services Router
5856 2016-09-29 12:20:45,229 http://www.cisco.com/c/en/us/support/routers/800m-integrated-services-router-isr/model.html
5856 2016-09-29 12:20:45,229 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:45,409 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:45,629 Adding pid into db_q
5856 2016-09-29 12:20:45,629 Done. Found 35 pids
5856 2016-09-29 12:20:45,629 Searching for EOS documents
5856 2016-09-29 12:20:45,769 Parsing 810 Integrated Services Routers
5856 2016-09-29 12:20:45,769 http://www.cisco.com/c/en/us/support/routers/810-integrated-services-routers-isr/model.html
5856 2016-09-29 12:20:45,769 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:46,169 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:46,369 Adding pid into db_q
5856 2016-09-29 12:20:46,369 Done. Found 30 pids
5856 2016-09-29 12:20:46,369 Searching for EOS documents
5856 2016-09-29 12:20:46,519 Parsing 812 3G Integrated Services Router
5856 2016-09-29 12:20:46,519 http://www.cisco.com/c/en/us/support/routers/812-3g-integrated-services-router-isr/model.html
5856 2016-09-29 12:20:46,519 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:46,849 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:47,039 Adding pid into db_q
5856 2016-09-29 12:20:47,039 Done. Found 48 pids
5856 2016-09-29 12:20:47,039 Searching for EOS documents
5856 2016-09-29 12:20:47,169 Parsing 812 CiFi Integrated Services Router
5856 2016-09-29 12:20:47,169 http://www.cisco.com/c/en/us/support/routers/812-cifi-integrated-services-router-isr/model.html
5856 2016-09-29 12:20:47,169 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:47,549 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:47,750 Adding pid into db_q
5856 2016-09-29 12:20:47,750 Done. Found 46 pids
5856 2016-09-29 12:20:47,750 Searching for EOS documents
5856 2016-09-29 12:20:47,890 Parsing 819 Hardened 3G with Dual Radio 802.11n WiFi Integrated Services Router
5856 2016-09-29 12:20:47,890 http://www.cisco.com/c/en/us/support/routers/819-hardened-3g-dual-radio-802-11n-wifi-integrated-services-router-isr/model.html
5856 2016-09-29 12:20:47,890 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:48,160 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:48,350 Adding pid into db_q
5856 2016-09-29 12:20:48,360 Done. Found 67 pids
5856 2016-09-29 12:20:48,360 Searching for EOS documents
5856 2016-09-29 12:20:48,490 Parsing 819 Hardened Dual Radio 802.11n WiFi Integrated Services Router
5856 2016-09-29 12:20:48,490 http://www.cisco.com/c/en/us/support/routers/819-hardened-dual-radio-802-11n-wifi-integrated-services-router-isr/model.html
5856 2016-09-29 12:20:48,490 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:48,791 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:48,981 Adding pid into db_q
5856 2016-09-29 12:20:49,001 Done. Found 57 pids
5856 2016-09-29 12:20:49,001 Searching for EOS documents
5856 2016-09-29 12:20:49,141 Parsing 819 Hardened Integrated Services Router
5856 2016-09-29 12:20:49,141 http://www.cisco.com/c/en/us/support/routers/819-hardened-integrated-services-router-isr/model.html
5856 2016-09-29 12:20:49,151 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:49,481 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:49,671 Adding pid into db_q
5856 2016-09-29 12:20:49,671 Done. Found 93 pids
5856 2016-09-29 12:20:49,671 Searching for EOS documents
5856 2016-09-29 12:20:49,821 Parsing 819 Integrated Services Router
5856 2016-09-29 12:20:49,821 http://www.cisco.com/c/en/us/support/routers/819-integrated-services-router-isr/model.html
5856 2016-09-29 12:20:49,821 Starting new HTTP connection (1): www.cisco.com
5856 2016-09-29 12:20:50,081 Gathering PN assosiated with this device and some eos info
5856 2016-09-29 12:20:50,281 Adding pid into db_q
